Frame#,Time,Angle
1795,29.9,158.59795
1796,29.917,158.69534
1797,29.933,158.78354
1798,29.95,158.85629
1799,29.967,158.9084
1800,29.983,158.93936
1801,30,158.95743
1802,30.017,158.98032
1803,30.033,159.03214
1804,30.05,159.13768
1805,30.067,159.31613
1806,30.083,159.57799
1807,30.1,159.92543
1808,30.117,160.35245
1809,30.133,160.84332
1810,30.15,161.37219
1811,30.167,161.90134
1812,30.183,162.3788
1813,30.2,162.74113
1814,30.217,162.92039
1815,30.233,162.8488
1816,30.25,162.46756
1817,30.267,161.74088
1818,30.283,160.66113
1819,30.3,159.2468
1820,30.317,157.5414
1821,30.333,155.60858
1822,30.35,153.51785
1823,30.367,151.32875
1824,30.383,149.08105
1825,30.4,146.79691
1826,30.417,144.49052
1827,30.433,142.1718
1828,30.45,139.84534
1829,30.467,137.51334
1830,30.483,135.18069
1831,30.5,132.86342
1832,30.517,130.59195
1833,30.533,128.39999
1834,30.55,126.31036
1835,30.567,124.33228
1836,30.583,122.46621
1837,30.6,120.70895
1838,30.617,119.06
1839,30.633,117.52543
1840,30.65,116.11021
1841,30.667,114.80792
1842,30.683,113.59924
1843,30.7,112.4601
1844,30.717,111.37662
1845,30.733,110.35544
1846,30.75,109.41747
1847,30.767,108.58362
1848,30.783,107.86434
1849,30.8,107.25894
1850,30.817,106.76283
1851,30.833,106.37529
1852,30.85,106.10094
1853,30.867,105.94714
1854,30.883,105.92282
1855,30.9,106.03934
1856,30.917,106.30853
1857,30.933,106.74047
1858,30.95,107.3464
1859,30.967,108.13865
1860,30.983,109.12003
1861,31,110.27674
1862,31.017,111.58687
1863,31.033,113.03165
1864,31.05,114.59581
1865,31.067,116.26426
1866,31.083,118.0242
1867,31.1,119.86784
1868,31.117,121.79095
1869,31.133,123.79025
1870,31.15,125.86125
1871,31.167,127.99451
1872,31.183,130.16957
1873,31.2,132.35466
1874,31.217,134.51564
1875,31.233,136.62263
1876,31.25,138.65038
1877,31.267,140.58244
1878,31.283,142.41827
1879,31.3,144.17058
1880,31.317,145.85814
1881,31.333,147.50275
1882,31.35,149.12364
1883,31.367,150.72896
1884,31.383,152.31279
1885,31.4,153.85696
1886,31.417,155.33624
1887,31.433,156.7231
1888,31.45,157.98856
1889,31.467,159.10712
1890,31.483,160.06577
1891,31.5,160.86665
1892,31.517,161.52222
1893,31.533,162.04533
1894,31.55,162.43695
1895,31.567,162.68568
1896,31.583,162.78189
1897,31.6,162.72766
1898,31.617,162.5356
1899,31.633,162.2276
1900,31.65,161.84016
1901,31.667,161.4278
1902,31.683,161.04834
1903,31.7,160.73999
1904,31.717,160.5125
1905,31.733,160.35455
1906,31.75,160.2449
1907,31.767,160.16122
1908,31.783,160.08647
1909,31.8,160.01036
1910,31.817,159.92738
1911,31.833,159.83368
1912,31.85,159.72449
1913,31.867,159.59332
1914,31.883,159.43411
1915,31.9,159.24438
1916,31.917,159.02692
1917,31.933,158.79021
1918,31.95,158.54704
1919,31.967,158.31271
1920,31.983,158.10323
1921,32,157.93217
1922,32.017,157.80925
1923,32.033,157.74182
1924,32.05,157.73804
1925,32.067,157.80788
1926,32.083,157.96149
1927,32.1,158.20625
1928,32.117,158.54448
1929,32.133,158.97218
1930,32.15,159.47868
1931,32.167,160.04637
1932,32.183,160.6501
1933,32.2,161.25406
1934,32.217,161.80881
1935,32.233,162.25394
1936,32.25,162.52737
1937,32.267,162.57442
1938,32.283,162.35074
1939,32.3,161.82745
1940,32.317,160.99895
1941,32.333,159.87959
1942,32.35,158.49283
1943,32.367,156.87103
1944,32.383,155.05869
1945,32.4,153.10097
1946,32.417,151.03394
1947,32.433,148.88914
1948,32.45,146.70358
1949,32.467,144.52156
1950,32.483,142.38129
1951,32.5,140.29744
1952,32.517,138.2625
1953,32.533,136.26494
1954,32.55,134.30638
1955,32.567,132.40262
1956,32.583,130.56877
1957,32.6,128.80206
1958,32.617,127.08068
1959,32.633,125.38057
1960,32.65,123.69717
1961,32.667,122.05728
1962,32.683,120.50983
1963,32.7,119.09777
1964,32.717,117.8334
1965,32.733,116.6966
1966,32.75,115.64971
1967,32.767,114.65608
1968,32.783,113.6957
1969,32.8,112.76982
1970,32.817,111.89475
1971,32.833,111.09351
1972,32.85,110.38916
1973,32.867,109.79927
1974,32.883,109.33192
1975,32.9,108.98485
1976,32.917,108.74831
1977,32.933,108.61175
1978,32.95,108.57202
1979,32.967,108.63689
1980,32.983,108.82249
1981,33,109.14935
1982,33.017,109.63904
1983,33.033,110.31379
1984,33.05,111.19514
1985,33.067,112.2942
1986,33.083,113.60238
1987,33.1,115.09216
1988,33.117,116.72655
1989,33.133,118.47214
1990,33.15,120.30672
1991,33.167,122.21596
1992,33.183,124.18658
1993,33.2,126.20068
1994,33.217,128.23381
1995,33.233,130.26456
1996,33.25,132.2892
1997,33.267,134.32092
1998,33.283,136.37161
1999,33.3,138.43922
2000,33.317,140.51443
2001,33.333,142.59079
2002,33.35,144.66618
2003,33.367,146.7404
2004,33.383,148.81227
2005,33.4,150.87166
2006,33.417,152.89046
2007,33.433,154.82173
2008,33.45,156.60788
2009,33.467,158.19261
2010,33.483,159.53439
2011,33.5,160.61578
2012,33.517,161.44077
2013,33.533,162.02589
2014,33.55,162.39333
2015,33.567,162.56772
2016,33.583,162.57436
2017,33.6,162.43716
2018,33.617,162.18143
2019,33.633,161.83768
2020,33.65,161.43834
2021,33.667,161.01263
2022,33.683,160.58749
2023,33.7,160.19107
2024,33.717,159.84941
2025,33.733,159.57784
2026,33.75,159.37498
2027,33.767,159.22543
2028,33.783,159.10667
2029,33.8,158.99617
2030,33.817,158.87749
2031,33.833,158.74472
2032,33.85,158.60361
2033,33.867,158.46828
2034,33.883,158.35356
2035,33.9,158.26875
2036,33.917,158.21729
2037,33.933,158.1998
2038,33.95,158.21655
2039,33.967,158.26909
2040,33.983,158.36182
2041,34,158.50369
2042,34.017,158.70847
2043,34.033,158.99043
2044,34.05,159.3582
2045,34.067,159.80965
2046,34.083,160.32895
2047,34.1,160.88383
2048,34.117,161.42784
2049,34.133,161.90501
2050,34.15,162.25021
2051,34.167,162.39194
2052,34.183,162.2623
2053,34.2,161.81004
2054,34.217,161.01085
2055,34.233,159.87112
2056,34.25,158.42284
2057,34.267,156.7164
2058,34.283,154.81633
2059,34.3,152.78792
2060,34.317,150.67845
2061,34.333,148.51456
2062,34.35,146.31375
2063,34.367,144.09137
2064,34.383,141.8595
2065,34.4,139.62303
2066,34.417,137.38011
2067,34.433,135.13072
2068,34.45,132.88484
2069,34.467,130.65868
2070,34.483,128.46306
2071,34.5,126.29835
2072,34.517,124.16199
2073,34.533,122.06091
2074,34.55,120.0163
2075,34.567,118.05885
2076,34.583,116.22135
2077,34.6,114.52917
2078,34.617,112.99034
2079,34.633,111.5975
2080,34.65,110.3399
2081,34.667,109.20925
2082,34.683,108.19843
2083,34.7,107.30295
2084,34.717,106.52623
2085,34.733,105.88129
2086,34.75,105.38852
2087,34.767,105.07114
2088,34.783,104.94783
2089,34.8,105.02692
2090,34.817,105.30615
2091,34.833,105.77441
2092,34.85,106.41342
2093,34.867,107.20278
2094,34.883,108.12868
2095,34.9,109.18773
2096,34.917,110.38196
2097,34.933,111.7123
2098,34.95,113.17797
2099,34.967,114.77692
2100,34.983,116.50122
2101,35,118.33456
2102,35.017,120.25764
2103,35.033,122.25117
2104,35.05,124.29292
2105,35.067,126.35851
2106,35.083,128.42633
2107,35.1,130.48283
2108,35.117,132.52533
2109,35.133,134.55809
2110,35.15,136.58388
2111,35.167,138.60081
2112,35.183,140.60783
2113,35.2,142.60594
2114,35.217,144.5905
2115,35.233,146.54903
2116,35.25,148.46861
2117,35.267,150.33864
2118,35.283,152.14919
2119,35.3,153.89304
2120,35.317,155.56223
2121,35.333,157.13583
2122,35.35,158.57675
2123,35.367,159.84055
2124,35.383,160.88426
2125,35.4,161.67592
2126,35.417,162.20496
2127,35.433,162.48543
2128,35.45,162.55109
2129,35.467,162.44675
2130,35.483,162.21713
2131,35.5,161.90007
2132,35.517,161.52568
2133,35.533,161.11757
2134,35.55,160.6949
2135,35.567,160.2757
2136,35.583,159.87843
2137,35.6,159.51906
2138,35.617,159.2047
2139,35.633,158.93253
2140,35.65,158.6946
2141,35.667,158.48312
2142,35.683,158.29271
2143,35.7,158.12135
2144,35.717,157.97131
2145,35.733,157.84856
2146,35.75,157.76009
2147,35.767,157.71046
2148,35.783,157.70042
2149,35.8,157.72717
2150,35.817,157.78525
2151,35.833,157.86783
2152,35.85,157.96954
2153,35.867,158.08995
2154,35.883,158.23499
2155,35.9,158.41629
2156,35.917,158.64954
2157,35.933,158.95224
2158,35.95,159.33882
2159,35.967,159.81494
2160,35.983,160.37407
2161,36,160.99428
2162,36.017,161.63322
2163,36.033,162.22272
2164,36.05,162.67152
2165,36.067,162.8821
